370;TOLEDO;2;0;0
371;CUCHILLA ALTA Y EL GALEON;2;0;0
372;PINAMAR - PINEPARK;2;0;0
373;EL BOSQUE DE LAGOMAR;2;0;0
374;VINA DEL MAR;2;0;0
375;COLONIA LAMAS;2;0;0
376;BARRIO MONTERREY;2;0;0
377;MONACO DE CARRASCO;2;0;0
378;FRACC. CAMINO MALDONADO;2;0;0
379;VILLA GABI;2;0;0
380;VILLA PORVENIR;2;0;0
381;VILLA CRESPO Y SAN ANDRES;2;0;0
382;MIRADOR DE LA TAHONA;2;0;0
383;FRAILE MUERTO;3;0;0
384;BARRIO LOPEZ BENITEZ;3;0;0
385;RIO BRANCO;3;0;0
386;TOLEDO;3;0;0
387;RAMON TRIGO;3;0;0
388;PRESIDENTE DOCTOR GETULIO VARGAS;3;0;0
389;ASPEREZAS;3;0;0
390;ARROYO MALO;3;0;0
391;PUNTAS DE MOLLES;3;0;0
392;CASA DE LAS CRONICAS;3;0;0
393;TRES ISLAS;3;0;0
394;CUCHILLA DEL CARMEN;3;0;0
395;HIPODROMO;3;0;0
396;BARRIO LA VINCHUCA;3;0;0
397;CASERIO LAS CAÑAS;3;0;0
398;QUEBRACHO;3;0;0
399;BALNEARIO LAGO MERIN;3;0;0
400;LAGO MERIN;3;0;0
401;ESPERANZA;3;0;0
402;POBLADO URUGUAY;3;0;0
403;MELO;3;0;0
404;MANGRULLO;3;0;0
405;ARACHANIA;3;0;0
406;ISIDORO NOBLIA;3;0;0
407;ESCUELA DE AGRONOMIA;3;0;0
408;WENCESLAO SILVERA;3;0;0
409;ARBOLITO;3;0;0
410;CERRO DE LAS CUENTAS;3;0;0
411;TUPAMBAE;3;0;0
412;LA PEDRERA;3;0;0
413;NANDO;3;0;0
414;ACEGUA;3;0;0
415;ALMEIDA;3;0;0
416;JUNCAL;3;0;0
417;PASO ALMEIDA;3;0;0
418;PUEBLO ALMEIDA;3;0;0
419;PUEBLO JUNCAL;3;0;0
420;BAÑADO DE MEDINA;3;0;0
421;CENTURION;3;0;0
422;AREVALO;3;0;0
423;ÑANGAPIRÉ;3;0;0
424;PLACIDO ROSAS;3;0;0
425;SOTO GORO;3;0;0
426;SARANDI DE YAGUARON;3;0;0
427;PICADA DE MAYA;3;0;0
428;URUGUAY;3;0;0
429;ARROZAL ROSALES;3;0;0
430;PUNTAS DEL SAUCE;3;0;0
431;LA CORONILLA;3;0;0
432;ARROZAL CESARONE;3;0;0
433;SAN SERVANDO;3;0;0
434;CAÑADA DE SANTOS;3;0;0
435;BARRA DEL SAUCE;3;0;0
436;PICADA DE SALOME;3;0;0
437;BARRA DEL TACUARI;3;0;0
438;MARIA ISABEL;3;0;0
439;PASO MELO;3;0;0
440;SAN DIEGO;3;0;0
441;BERACHI;3;0;0
442;FALDA DE SIERRA DE LOS RIOS;3;0;0
443;CEMENTERIO;3;0;0
444;RINCON DE PAIVA;3;0;0
445;DURAZNERO;3;0;0
446;LA GLORIA;3;0;0
447;CUCHILLA PERALTA;3;0;0
448;MONTECITO;3;0;0
449;RODRIGUEZ;3;0;0
450;CORRAL DE PIEDRA;3;0;0
451;PUNTAS DE AMARILLO;3;0;0
452;SARANDI DE BARCELO;3;0;0
453;CUCHILLA CAMBOTA;3;0;0
454;CUCHILLA DEL PARAISO;3;0;0
455;RINCON DE LOS OLIVERA;3;0;0
456;RINCON DE LOS CORONELES;3;0;0
457;LA MICAELA;3;0;0
458;CAÑITAS;3;0;0
459;SALDAÑAS;3;0;0
460;RINCON DE TACUARI;3;0;0
461;GARAO;3;0;0
462;PASO DE LAS YEGUAS;3;0;0
463;MINUANO DE ACEGUA;3;0;0
464;MISTERIO;3;0;0
